INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
上海斜橋馮橋堂會,TN_0298,Shanghai Xieqiao Fengqiao Church ,上海斜橋馮橋堂會,,shànghǎi xiéqiáo féngqiáo tánghuì,,,,Ecclesial,Church,,,Protestant,,,Y_1512,,
浦東奉城地方教會,TN_0299,Pudong Fengcheng Local Church,浦東奉城地方教會,,pǔdōng fèngchéng dìfāng jiàohuì,,,,Ecclesial,Church,,,Protestant,,,Y_1508,,
蘇州聖約翰堂,TN_0300,Suzhou Shen Yuehan Church ,蘇州聖約翰堂,,sūzhōu shèngyuē hàntáng,,,Suzhou St.John's Church ,Ecclesial,Church,,,Protestant,,,Y_771,,
蘇州崇道堂,TN_0301,Suzhou Chongdao Church ,蘇州崇道堂,,sūzhōu chóngdàotáng,,,,Ecclesial,Church,,,Protestant,,,Y_771,,
南京中華路基督會堂,TN_0302,Zhonghua Road Disciples of Christ Church (Nanjing),南京中華路基督會堂,,nánjīng zhōnghuálù jīdū huìtáng,C_000372,Disciples of Christ ,,Ecclesial,Church,,,Protestant,Restorationist,,Y_753,,
南京中華基督教貴格會大中堂,TN_0303,Nanjing Society of Friends Dazhong Church ,南京中華基督教貴格會大中堂,,nánjīng zhōnghuá jīdūjiào guìgéhuì dà zhōngtáng,C_000016,American Friends Mission; Quakers,Nanjing Quakers Dazhong Church,Ecclesial,Church,,,Protestant,Quaker,,Y_751,,
南京中華基督教貴格會靈恩堂,TN_0304,Nanjing Society of Friends Lingen Church ,南京中華基督教貴格會靈恩堂,,nánjīng zhōnghuá jīdūjiào guìgéhuì língēntáng,C_000016,American Friends Mission; Quakers,Nanjing Quakers Lingen Church ,Ecclesial,Church,,,Protestant,Quaker,,Y_747,,
南京中華聖潔會辦公室,TN_0305,Office of Chinese Holiness Movement Church (Nanjing) ,南京中華聖潔會辦公室,,nánjīng zhōnghuáshèngjiéhuì bàn gōngshì,C_000050,Holiness Movement Church,,Ecclesial,,,,Protestant,Holiness,,F_139,,
南京基督教救世軍辦公室,TN_0306,Office of Christian Salvation Army (Nanjing),南京基督教救世軍辦公室,,nánjīng jīdūjiào jiùshì jūnbàn gōngshì,C_000227,Salvation Army,,Ecclesial,,,,Protestant,Holiness,,Y_753,,
南京四所村天恩堂,TN_0307,Sisuo Village Tianen Church (Nanjing),南京四所村天恩堂,,nánjīng sìsuǒ cūn tiānēn táng,,,,Ecclesial,Church,,,Protestant,,,Y_747,,
